,index,hrefid,numberofreviews,new,pricerange,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,address,category1,category2,category3,category4,category5,firstreviewdate
147,3827,/biz/blue-seafood-bar-new-york,86,,$$$,Hell's Kitchen,Midtown West,,,,"856 Ninth Ave
New York, NY 10019",Wine Bars,Tapas/Small Plates,Mediterranean,,,2015-10-25
148,4147,/biz/bluestone-lane-new-york-13,25,,$$,Financial District,,,,,"90 Water St
New York, NY 10005",Cafes,Coffee Roasteries,,,,2016-11-16
149,2371,/biz/bluestone-lane-new-york-7,267,,$$,Upper East Side,,,,,"2 E 90th St
New York, NY 10128",Coffee & Tea,Breakfast & Brunch,Gluten-Free,,,2015-08-03
150,5227,/biz/bluestone-lane-new-york-8,67,,$$,West Village,,,,,"30 Carmine St
New York, NY 10014",Coffee & Tea,Gluten-Free,Breakfast & Brunch,,,2016-02-07
151,5973,/biz/bluestone-lane-new-york-9,52,,$$,East Village,,,,,"51 Astor Pl
New York, NY 10003",Coffee & Tea,Breakfast & Brunch,Gluten-Free,,,2016-04-25
152,5904,/biz/blujeen-new-york,160,,$$,Harlem,,,,,"2143 Frederick Douglass Blvd
New York, NY 10026",American (New),Comfort Food,Seafood,,,2015-04-22
153,4241,/biz/bobs-steak-and-chop-house-new-york,33,,$$$,Midtown East,,,,,"21 E 52nd St
New York, NY 10022",Seafood,Steakhouses,Salad,,,2016-11-20
154,2716,/biz/bocadillo-new-york,60,,$$,Financial District,,,,,"40 Gold St
New York, NY 10038",Sandwiches,Spanish,Tapas/Small Plates,,,2016-07-07
155,2621,/biz/bocaditos-bistro-new-york,101,,$$,Washington Heights,Inwood,,,,"4863 Broadway
New York, NY 10034",Breakfast & Brunch,Tapas/Small Plates,Wine Bars,,,2016-10-02
156,3828,/biz/bocaph%C3%AA-new-york-3,331,,$$,SoHo,,,,,"222 Lafayette St
New York, NY 10012",Vietnamese,Breakfast & Brunch,Asian Fusion,,,2015-10-25
157,3972,/biz/boccone-mediterranean-tapas-and-wine-bar-new-york-2,37,,$$,Hell's Kitchen,Midtown West,,,,"506 9th Ave
New York, NY 10018",Italian,Tapas Bars,Mediterranean,,,2016-10-30
158,6802,/biz/bodega-pizza-new-york,92,,$$,Washington Heights,,,,,"4455 Broadway
New York, NY 10040",Pizza,Beer Bar,Sandwiches,,,2016-06-27
159,6737,/biz/bohemian-spirit-new-york,38,,$$,Yorkville,Upper East Side,,,,"321 East 73rd St
New York, NY 10021",Czech,,,,,2016-06-24
160,2507,/biz/bombay-grill-house-new-york-3,106,,$$,Theater District,Hell's Kitchen,Midtown West,,,"764 9th Ave
New York, NY 10019",Indian,Pakistani,Fast Food,,,2015-12-09
161,5533,/biz/bonmi-new-york,118,,$$,Upper West Side,,,,,"150 W 62nd St
New York, NY 10023",Vietnamese,Sandwiches,,,,2015-03-25
162,6766,/biz/bono-trattoria-new-york,183,,$$,Harlem,,,,,"3658 Broadway
New York, NY 10031",Pizza,Italian,,,,2015-06-25
163,2715,/biz/bosas-pizza-of-harlem-new-york,12,,$,East Harlem,,,,,"256 E 125th St
New York, NY 10035",Pizza,,,,,2016-07-07
